Titolo,Artista,Testo
29 settembre,Lucio Battisti,"Seduto in quel caffè
Io non pensavo a te

Guardavo il mondo che
Girava intorno a me

Poi d'improvviso lei sorrise
E ancora prima di capire
Mi trovai sottobraccio a lei
Stretto come se non ci fosse che lei

Vedevo solo lei
E non pensavo a te
E tutta la città
Correva incontro a noi

Il buio ci trovò vicini
Un ristorante e poi

Di corsa a ballar sottobraccio a lei
Stretto verso casa abbracciato a lei
Quasi come se non ci fosse che
Quasi come se non ci fosse che lei

Na-na-na-na-nai, na-na-na-na
Na-na-na-na-nei, na-na-na-na

Quasi come se non ci fosse che lei
Come se non ci fosse che lei

Mi son svegliato e
E sto pensando a te

Ricordo solo che
Che ieri non eri con me

Il sole ha cancellato tutto
Di colpo volo giù dal letto
E corro lì al telefono

Parlo, rido e tu, tu non sai perché
T'amo, t'amo e tu, tu non sai perché
Parlo, rido e tu, tu non sai perché

T'amo, t'amo e tu, tu non sai perché
Parlo, rido e tu, tu non sai perché
T'amo, t'amo e tu, tu non sai perché"
24000 Baci,Adriano Celentano,"Amami, ti voglio bene
Con 24 mila baci oggi saprei perché l'amore
Vuole ogn'istante mille baci, 
mille carezze vuole all'ora
Con 24 mila baci, 
felici corrono le ore
D'un giorno splendido perché 
ogni secondo bacio te
Niente bugie meravigliose, f
rasi d'amore appassionate
Ma solo baci che do a te, ie, ie, ie, ie, ie, ie, ie
Con 24 mila baci, così frenetico è l'amore
In questo giorno di follia 
ogni minuto è tutto mio
Niente bugie meravigliose, 
frasi d'amore appassionate
Ma solo baci che do a te, 
ie, ie, ie, ie, ie, ie, ie
Con 24 mila baci, così frenetico è l'amore
In questo giorno di follia ogni minuto è tutto mio
Con 24 mila baci, felici corrono le ore
D'un giorno splendido perché
Con 24 mila baci tu m'hai portato alla follia
Con 24 mila baci ogni secondo è tutto mio
Con 24 mila baci ogni secondo bacio te"
50 Mila,Nina Zilli,"50 mila lacrime non basteranno perché

Musica triste sei tu, dentro di me

50 mila pagine gettate al vento perché

Tenuo è il ricordo, il mio volto per te
Non ritornare, no, tu non ti voltare
Non vorrei mi vedessi cadere

A me piace così, che se sbaglio è lo stesso
Perché questo dolore è amore per te

50 mila lacrime senza sapere perché
Sono un ricordo lontano da te

50 mila lacrime non basteranno perché
Musica triste sei tu, dentro di me
Non mi guardare, non lo senti il dolore?

Brucia come un taglio nel sale
A me piace così, che se sbaglio è lo stesso

Perché questo dolore è amore per te
A me piace così, e non chiedo il permesso
Perché questo dolore è amore per te"
50 Special,Lùnapop,"Vespe truccate anni '60
Girano in centro sfiorando i 90
Rosse di fuoco, comincia la danza
Di frecce con dietro attaccata una targa

Dammi una Special, l'estate che avanza
Dammi una Vespa e ti porto in vacanza

Ma quanto è bello andare in giro con le ali sotto ai piedi
Se hai una Vespa Special che ti toglie i problemi
Ma quanto è bello andare in giro per i colli bolognesi
Se hai una Vespa Special che ti toglie i problemi

E la scuola non va
Ma ho una Vespa, una donna non ho
Ho una Vespa, domenica è già
E una Vespa mi porterà (Mi porterà, mi porterà)
Fuori città
Fuori città
Fuori città
Fuori città
Fuori città

Esco di fretta dalla mia stanza
A marce ingranate dalla prima alla quarta
Devo fare in fretta, devo andare a una festa
Fammi fare un giro prima sulla mia Vespa

Dammi una Special, l'estate che avanza
Dammi una Vespa e ti porto in vacanza

Ma quanto è bello andare in giro con le ali sotto ai piedi
Se hai una Vespa Special che ti toglie i problemi
Ma quanto è bello andare in giro per i colli bolognesi
Se hai una Vespa Special che ti toglie i problemi

E la scuola non va
Ma ho una Vespa, una donna non ho
Ho una Vespa, domenica è già
E una Vespa mi porterà (Mi porterà, mi porterà)
Fuori città
Fuori città
Fuori città"
7 E 40,Lucio Battisti,"Mi sono informato
C'è un treno che parte alle sette e quaranta
Non hai molto tempo il traffico è lento nell'ora di punta

Ti bastano dieci minuti per giungere a casa, la nostra
La chiave, ricorda che è sempre lì, lì sulla finestra
E nel far le valigie ricordati di non scordare

Qualche cosa di tuo che a te poi mi faccia pensare

E ora basta non stare più qui

Ti rendi conto anche tu
Che noi soffriamo di più
Ogni istante che passa di più, no, non piangere

Presto, presto
Presto, presto (yeah)
Presto, presto, vai

Da un minuto sei partita e sono solo
Sono strano e non capisco cosa c'è
Sui miei occhi da un minuto è sceso un velo
Forse è solo suggestione
O paura o chissà che
È possibile che abbia fin da ora bisogno di te

Mi sono informato c'è un volo che parte alle otto e cinquanta
Non ho molto tempo il traffico è lento nell'ora di punta

Mi bastano dieci minuti per giungere a casa, la nostra
La chiave l'hai messa senz'altro lì, lì sulla finestra

E nel far le valigie stavolta non devo scordare
Di mettere un fiore che adesso ti voglio comprare

Con l'aereo in un'ora son lì
E poi di corsa un tassì, yeah
Sono certo così
Quando arrivi col treno mi vedi, non piangere

Presto presto
Presto, presto (yeah)
Presto, presto, vai nanananana
Presto presto e
Presto presto e
Presto presto, fai presto diridididididiri
Fai presto, più presto diridididididiri"
7000 Caffè,Alex Britti,"7000 caffè, li ho già presi perché
Sono stanco di stare al volante
E vorrei arrivare entro sera da te
Che aspetti me nel castello lassù
Con la treccia già sciolta
Affacciata al balcone, vestita di blu

7000 caffè, è l'effetto che ho
Quando arrivo al portone e ti vedo gridare
Con gli occhi il mio nome, perciò
Vieni verso di me e io pazzo di te
In un attimo ci diamo il bacio
Più dolce, più dolce che c'è

Ho bisogno di te perché sei bella e poi
Ho bisogno di tutte quelle cose che non hai
Ho bisogno di te, come l'acqua e il caffè
Come un mondo che gira e che
Amore se non vuoi, non finirà mai

Ora sto qui da solo
E non dormo e non volo
Mentre tu sei lontana
Ripenso a una scena di te senza velo
Non so bene cos'è
Forse i troppi caffè
Ma stanotte non riesco a dormire
E l'amore lo faccio da me

Ho bisogno di te perché sei bella e poi
Ho bisogno di tutte quelle cose che mi fai
Ho bisogno di te, come l'acqua e il caffè
Come un mondo che gira e che
Amore se non vuoi, non finirà mai

Ho bisogno di te perché sei bella e poi
Ho bisogno di tutte quelle cose che mi fai
Ho bisogno di te, come l'acqua e il caffè
Come un mondo che gira e che
Amore se non vuoi, non finirà mai
Non finirà mai"
74 - '75,The Connels,"Got no reason
For coming to me in the rain
Running down
There's no reason

And the same voice
Come to me like it's all slowing down
And believe me
I was the one who let you know
I was your sorry ever after
7475

It's not easy
There's nothing to say 'cause it's already said
It's never easy

And when I look on your eyes
Then I find that I'll do fine
When I look on your eyes
Then I'll do better
'Cause I was the one who let you know
I was your sorry ever after
7475

You're giving me more and I'll defy
'Cause you're really only after
7475

Got no reason
For coming to me in the rain
Running down
There's no reason

When I look on your eyes
I find that I'll do fine
When I look on your eyes
Then I'll do better
'Cause I was the one who let you know
I was your sorry ever after
7475

You're giving me more and I'll defy
'Cause you're really only after
7475

I was the one who let you know
I was your sorry ever after
7475

You're giving me more and I'll defy
'Cause you're really only after
7475

I was the one who let you know
I was your sorry ever after
7475

You're giving me more and I'll defy
'Cause you're really only after
7475"
A Città E Pulecenella,Gigi D’Alessio,"T'accumpagno vico vico
Sulo a tte ca si' 'n amico
E te porto pe' 'e quartiere
Addo' 'o sole nun se vede
Ma se vede tutto 'o riesto
E s'arapeno 'e ffeneste
E capisce comm'e' bella
'A citta' 'e pulecenella

Comm'e' bella comm'e' bella
'A citta' 'e pulecenella
Comm'e' bella comm'e' bella
'A citta' 'e pulecenella

Me dispiace sulamente
Ca l'orgoglio 'e chesta gente
Se murtifica ogni juorno
Pe' 'na manica 'e fetiente
Che nun teneno cuscienza
E nun teneno rispetto
Comme fanno a piglia' suonno
Quann'e' 'a sera dint' 'o lietto

Dint' 'o lietto dint' 'o lietto
Quann'e' 'a sera dint' 'o lietto
Dint' 'o lietto dint' 'o lietto
Quann'e' 'a sera dint' 'o lietto

Po' te porto a Margillina
Sempe ca nun tiene fretta
Verso 'e ccinche d' 'a matina
Quann' 'o traffico 'o ppermette
Cca' e' permesso tuttecose
No pecche' tiene 'o diritto
Ma pecche' s'e' sempe fatto
O e' sultanto pe' dispietto

Pe' dispietto pe' dispietto
È sultanto pe' dispietto
Pe' dispietto pe' dispietto
E' sultanto pe' dispietto

Me dispiace sulamente
Ca l'orgoglio 'e chesta gente
Se murtifica ogni juorno
E nuje ce mettimmo scuorno
E nisciuno po' ffa' niente
Ce zucammo 'a caramella

Comm'e' ddoce e comm'e' bella
'A citta' 'e pulecenella
Comm'e' ddoce e comm'e' bella
'A citta' 'e pulecenella
Comm'e' ddoce e comm'e' bella
'A citta' 'e pulecenella

Io che songo musicante
E me sento furtunato
Canto e ssono sono e canto
Chesta bella serenata
È pecche' so' nnammurato
Pecche' forse ce so' nato
Ma vedite comm'e' bella
'A citta' 'e pulecenella

Comm'e' bella comm'e' bella
'A citta' 'e pulecenella
Comm'e' bella comm'e' bella
'A citta' 'e pulecenella
Comm'e' bella comm'e' bella
'A citta' 'e pulecenella
Comm'e' bella comm'e' bella
'A citta' 'e pulecenella"
A Mano A Mano,Rino Gaetano,"A mano a mano ti accorgi che il vento
Ti soffia sul viso e ti ruba un sorriso
La bella stagione che sta per finire
Ti soffia sul cuore e ti ruba l'amore

E a mano a mano si scioglie nel pianto
Quel dolce ricordo sbiadito dal tempo
Di quando vivevi con me in una stanza
Non c'erano soldi ma tanta speranza

E a mano a mano mi perdi e ti perdo
E quello che è stato ci sembra più assurdo
Di quando la notte eri sempre più vera
E non come adesso nei sabato sera

Ma dammi la mano e torna vicino
Può nascere un fiore nel nostro giardino
Che neanche l'inverno potrà mai gelare
Può crescere un fiore da questo mio amore per te

E a mano a mano vedrai che nel tempo
Lì sopra il suo viso lo stesso sorriso
Che il vento crudele ti aveva rubato
Che torna fedele, l'amore è tornato da te"
A me me piace o Blues,Pino Daniele,"A me me piace 'o blues
E tutt'e juorne aggio cantà
Pecchè so stato zitto e mo è 'o mumento 'e me sfuca'

Sono volgare e so che nella vita suonerò
Pe chi tene 'e complessi e nun' 'e vò

A me me piace 'o zucchero ca scenne dinto 'o caffè
E cu' 'na presa d'annice ma chi è meglio 'e me

Tengo 'a cazzimma e faccio tutto quello che mi va
Pecchè so' blues e nun voglio cagnà'

E po' nce resta 'o mare
E 'a pazienza 'e suppurta'
'A gente ca cammina miezo 'a via pe sbraita'

I' vengo appriesso a te
Pecchè so nato ccà
Sai che so niro niro
Ma nun te pozzo lassà',

Oh no, no-no, oh no, no, yeah

A me me piace chi da 'nfaccia senza 'e se ferma'

Chi è tuosto e po' s'arape pecchè sape see'adda da'

Aiza 'o vraccio 'e cchiù per nun te fa 'mbruglia'

E dalle 'nfaccia senza te ferma', senza te ferma', senza te ferma'

A me me piace 'o blues e tutt'e juorne aggiò canta'
Pecchè m'abbruscia 'o fronte 'e 'na manera aggio sfuca'
Sono volgare e so che nella vita suonerò
So' blues astregne i dienti e sono mo

E po' nce resta 'o mare
E 'a pazienza 'e suppurta'
'A gente ca cammina miezo 'a via pe sbraita'
I' vengo appriesso a te
Pecchè so nato ccà
Sai che so niro niro
Ma nun te pozzo lassa'

Oh no, no-no, oh no, no, yeah
E sono mo, sono mo, sono mo
E sono mo, sono mo, sono mo
E sono mo, sono mo, sono mo
E sono mo, sono mo, sono mo
E sono mo, sono mo, sono mo
E sono mo, sono mo, sono mo
E sono mo, sono mo, sono mo
E sono mo, sono mo, sono mo
E sono mo, sono mo, sono mo"
